a 어
aahmes 아아흐메스
aala 아알라
aalborg 알보크
aalesund 올레순드
aaliyah 알리야
aaran 애런
aardwolf 아드울프
aaron 아론
aaron 에런
abandon 어밴던
abas 애버스
abba 아바
abbas 아바스
abbe 아베
abbeville 아브빌
abbeville 애비빌
abbot 애벗
abbotsford 애버츠퍼드
abbotsford 애보츠퍼드
abbott 애벗
abby 애비
abbyville 애비빌
abdallah 앱댈라
abebe 아베베
abedin 애버딘
abegg 아베크
abel 아벨
abell 아벨
abenarius 아베나리우스
abercrombie 애버크롬비
abercromby 애버크롬비
aberdeen 애버딘
abernathy 애버내시
aberration 애버레이션
abib 아비브
abidjan 아비장
abilene 아빌렌
abingdon 애빙던
abington 애빙턴
abiquiu 애비퀴우
abizaid 애비제이드
able 에이블
abney 애브니
abo 애보
aboite 애보이트
aborigine 애버리지니
about 어바웃
abraham 아브라함
abrahamson 아브러햄슨
abram 아브람
abrams 아브람스
abramson 아브람슨
abrikosov 아브리코소프
absalom 압살롬
absecon 애브시컨
absecon 앱시컨
absent 앱센트
abuja 아부자
abydos 아비도스
abyssinian 아비시니안
acacia 아카시아
academic 아카데믹
academic 아카데믹하다
academism 아카데미즘
academy 아카데미
acadia 아카디아
acadia 어케이디아
acampo 아캄포
acanthus 아칸서스
acapella 아카펠라
acapulco 아카풀코
acarus 아카루스
accelerator 액셀러레이터
accent 악센트
acceptor 억셉터
access 액세스
accessory 액세사리
accessory 액세서리
accident 액시던트
accident 엑시던트
accomac 애커맥
accomack 애커맥
accompaniment 어컴퍼니먼트
accord 어코드
accordion 아코디언
accotink 애코팅크
accountability 어카운터빌리티
accoville 아코빌
accra 아크라
accumulator 어큐뮬레이터
ace 에이스
acenaphthene 아세나프텐
acenaphthylene 아세나프틸렌
acer 에이서
acetal 아세탈
acetaldehyde 아세트알데히드
acetamide 아세트아미드
acetaminophen 아세트아미노펜
acetanilide 아세트아닐리드
acetate 아세테이트
acetone 아세톤
acetophenone 아세토페논
acetyl 아세틸
acetylcholine 아세틸콜린
acetylene 아세틸렌
achard 아샤르
achatz 애커츠
achernar 아케르나르
acheson 애치슨
achille 아칠
achilles 아킬레스
achilleus 아킬레우스
achimenes 아키메네스
achromycin 아크로마이신
acidosis 아시도시스
acker 애커
ackerly 애컬리
ackerman 애커먼
ackley 애클리
acona 애코나
aconitine 아코니틴
acosta 아코스타
acridine 아크리딘
acrinol 아크리놀
acrolein 아크롤레인
acromegaly 아크로메갈리
acrylamide 아크릴아미드
acrylic 아크릴
acrylite 아크릴라이트
acrylonitrile 아크릴로니트릴
act 액트
actaeon 악타이온
acth 액드
actin 액틴
actinide 악티니드
